9999.00,-39.60,-39.00,-38.40,-37.80,-37.20,-36.60,-36.00,-35.40,-34.80,-34.20,-33.60,-33.00,-32.40,-31.80,-31.20,-30.60,-30.00,-29.40,-28.80,-28.20,-27.60,-27.00,-26.40,-25.80,-25.20,-24.60,-24.00,-23.40,-22.80,-22.20,-21.60,-21.00,-20.40,-19.80,-19.20,-18.60,-18.00,-17.40,-16.80,-16.20,-15.60,-15.00,-14.40,-13.80,-13.20,-12.60,-12.00,-11.40,-10.80,-10.20,-9.60,-9.00,-8.40,-7.80,-7.20,-6.60,-6.00,-5.40,-4.80,-4.20,-3.60,-3.00,-2.40,-1.80,-1.20,-0.60,0.00,0.60,1.20,1.80,2.40,3.00,3.60,4.20,4.80,5.40,6.00,6.60,7.20,7.80,8.40,9.00,9.60,10.20,10.80,11.40,12.00,12.60,13.20,13.80,14.40,15.00,15.60,16.20,16.80,17.40,18.00,18.60,19.20,19.80,20.40,21.00,21.60,22.20,22.80,23.40,24.00,24.60,25.20,25.80,26.40,27.00,27.60,28.20,28.80,29.40,30.00
89.40,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00
88.80,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00,99999.00
88.20,0.92,0.91,0.92,0.92,0.92,0.91,0.91,0.91,0.90,0.90,0.90,0.91,0.93,0.91,0.92,0.90,0.91,0.91,0.89,0.91,0.92,0.92,0.93,0.91,0.90,0.90,0.90,0.91,0.91,0.92,0.92,0.93,0.93,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.94,0.95,0.95,0.94,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.93,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.92,0.93,0.93,0.93,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.93,0.92,0.93,0.94,0.94,0.93,0.93,0.93,0.94,0.94,0.93,0.92,0.93,0.92,0.92,0.91,0.91,0.91,0.91,0.90,0.90,0.90,0.90,0.91,0.91,0.91,0.90,0.90,0.88,0.89,0.91,0.91,0.91,0.91
87.60,0.92,0.92,0.92,0.92,0.91,0.91,0.90,0.90,0.89,0.89,0.90,0.91,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.93,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.92,0.92,0.91,0.90,0.90,0.89,0.90,0.90,0.90,0.90,0.90,0.91,0.90,0.90,0.90,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.93,0.93,0.94,0.93,0.92,0.92,0.91,0.92,0.92,0.93,0.92,0.92,0.92,0.91,0.91,0.92,0.92,0.92,0.91,0.92,0.92,0.92,0.92
87.00,0.88,0.88,0.89,0.89,0.90,0.91,0.92,0.92,0.92,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.93,0.92,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.92,0.93,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.91,0.92,0.92,0.92,0.92,0.92,0.93,0.92,0.91,0.91,0.90,0.91,0.90,0.90,0.89,0.89,0.90,0.91,0.91,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.90,0.91,0.91,0.90,0.90,0.90,0.90,0.89,0.89,0.89,0.88,0.88,0.87,0.88,0.88,0.89,0.90,0.90,0.89,0.89,0.89,0.90,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.90,0.91,0.91,0.91,0.91
86.40,0.91,0.89,0.87,0.87,0.86,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.86,0.86,0.87,0.88,0.88,0.88,0.88,0.87,0.88,0.89,0.89,0.90,0.89,0.89,0.88,0.87,0.87,0.89,0.88,0.88,0.87,0.87,0.88,0.89,0.89,0.88,0.88,0.89,0.90,0.89,0.89,0.89,0.90,0.90,0.90,0.90,0.90,0.91,0.90,0.90,0.91,0.90,0.90,0.90,0.91,0.92,0.91,0.90,0.89,0.89,0.89,0.89,0.90,0.91,0.91,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.92,0.92,0.93,0.94,0.94,0.94,0.93,0.92,0.92,0.92,0.92,0.93,0.93,0.94,0.94,0.93,0.93,0.93,0.93,0.94,0.93,0.93,0.92,0.93,0.94,0.93,0.92,0.93,0.93,0.92,0.92,0.92,0.91,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.90,0.90
85.80,0.81,0.80,0.80,0.80,0.80,0.81,0.83,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.82,0.82,0.83,0.82,0.81,0.81,0.83,0.84,0.85,0.86,0.86,0.86,0.87,0.87,0.87,0.87,0.86,0.85,0.84,0.85,0.85,0.85,0.84,0.84,0.82,0.82,0.83,0.84,0.82,0.82,0.84,0.84,0.84,0.84,0.86,0.85,0.85,0.86,0.86,0.85,0.87,0.87,0.87,0.88,0.90,0.91,0.92,0.92,0.92,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.89,0.89,0.89,0.88,0.88,0.87,0.86,0.87,0.87,0.88,0.88,0.88,0.89,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.91,0.92,0.92,0.92,0.92,0.93,0.93,0.93,0.92,0.91,0.91,0.92,0.91,0.91,0.91,0.91,0.92,0.92,0.93,0.91,0.91,0.93,0.92,0.92,0.92,0.93,0.92
85.20,0.78,0.78,0.77,0.77,0.75,0.75,0.74,0.74,0.75,0.76,0.77,0.77,0.76,0.77,0.78,0.79,0.80,0.81,0.83,0.83,0.83,0.83,0.84,0.85,0.84,0.82,0.83,0.84,0.83,0.84,0.85,0.83,0.83,0.84,0.83,0.80,0.79,0.79,0.80,0.82,0.84,0.85,0.87,0.85,0.83,0.83,0.82,0.83,0.85,0.87,0.87,0.88,0.87,0.87,0.87,0.87,0.87,0.87,0.85,0.83,0.86,0.88,0.89,0.89,0.90,0.89,0.89,0.90,0.90,0.90,0.89,0.90,0.90,0.89,0.88,0.88,0.89,0.90,0.89,0.89,0.91,0.91,0.91,0.92,0.92,0.92,0.90,0.88,0.89,0.89,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.91,0.91,0.89,0.89,0.89,0.90,0.90,0.91,0.92,0.92,0.90,0.91,0.91,0.92,0.92,0.92,0.91,0.91,0.89
84.60,0.68,0.68,0.67,0.67,0.68,0.67,0.68,0.68,0.70,0.71,0.72,0.71,0.70,0.70,0.72,0.74,0.73,0.74,0.76,0.76,0.77,0.78,0.77,0.75,0.76,0.76,0.78,0.79,0.78,0.78,0.80,0.81,0.80,0.79,0.81,0.82,0.81,0.80,0.80,0.81,0.80,0.80,0.79,0.79,0.82,0.84,0.82,0.82,0.83,0.83,0.84,0.84,0.84,0.84,0.85,0.84,0.86,0.87,0.87,0.88,0.88,0.88,0.89,0.89,0.91,0.90,0.89,0.90,0.89,0.90,0.90,0.91,0.91,0.92,0.92,0.91,0.91,0.91,0.90,0.90,0.90,0.91,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.92,0.91,0.91,0.90,0.92,0.91,0.90,0.90,0.90,0.90,0.90,0.92,0.92,0.92,0.93,0.94,0.93,0.92,0.93,0.92,0.92,0.92,0.92,0.91,0.91,0.90,0.89,0.88
